Date,Close,High,P_H,Low,P_L
2017-10-30,22011.669921875,22086.880859375,22084.131640241205,21921.240234375,21991.456228472394
2017-10-31,22011.609375,22020.380859375,21941.130338714214,21840.0703125,21818.077932646862
2017-11-01,22420.080078125,22455.919921875,22183.85966866483,22130.029296875,22091.390837289167
2017-11-02,22539.119140625,22540.25,22521.349528499697,22400.009765625,22468.76677599336
2017-11-06,22548.349609375,22644.6796875,22644.807394775726,22435.33984375,22578.429622480475
2017-11-07,22937.599609375,22953.1796875,22552.52011701233,22512.91015625,22463.79017342718
2017-11-08,22913.8203125,22922.80078125,22849.91015625,22759.0703125,22782.62243106444
2017-11-09,22868.7109375,23382.150390625,23005.418933807192,22522.830078125,22955.160986265513
2017-11-10,22681.419921875,22724.390625,22599.77144820721,22511.9296875,22488.8191796939
2017-11-13,22380.990234375,22607.919921875,22621.465079518643,22380.990234375,22525.82317413593
2017-11-14,22380.009765625,22532.30078125,22407.532614441327,22323.240234375,22267.358968184482
2017-11-15,22028.3203125,22305.240234375,22285.858386356136,22004.7890625,22156.124428320174
2017-11-16,22351.119140625,22392.130859375,22053.485134217797,21972.33984375,21889.598019910656
2017-11-17,22396.80078125,22757.400390625,22626.127064076067,22319.119140625,22559.598754191335
2017-11-20,22261.759765625,22410.240234375,22353.485580012097,22215.0703125,22207.727549916675
2017-11-21,22416.48046875,22563.25,22528.655621333055,22416.48046875,22406.79348558504
2017-11-22,22523.150390625,22677.33984375,22676.155425876725,22513.439453125,22559.017586274644
2017-11-24,22550.849609375,22567.19921875,22450.66681074665,22381.009765625,22305.586775389565
2017-11-27,22495.990234375,22659.330078125,22695.879811038118,22423.400390625,22597.54137409988
2017-11-28,22486.240234375,22580.990234375,22537.2373204005,22363.939453125,22409.639105627106
2017-11-29,22597.19921875,22643.9296875,22667.80737447299,22537.119140625,22561.007113099993
2017-11-30,22724.9609375,22748.3203125,22654.707691320316,22502.6796875,22535.29057450281
2017-12-01,22819.029296875,22994.310546875,22973.016241956695,22675.0703125,22868.723411694686
2017-12-04,22707.16015625,22864.330078125,22912.565318064055,22693.990234375,22780.721930766038
2017-12-05,22622.380859375,22682.7109375,22663.91793897422,22522.279296875,22501.559486685885
2017-12-06,22177.0390625,22528.2109375,22576.968664980475,22119.2109375,22421.87106831622
2017-12-07,22498.029296875,22515.240234375,22426.065105605718,22317.150390625,22251.942352340597
2017-12-08,22811.080078125,22819.7109375,22674.32889899802,22625.41015625,22562.133151063546
2017-12-11,22938.73046875,22938.73046875,22927.585622311413,22787.400390625,22844.263770643825
2017-12-12,22866.169921875,22994.330078125,22968.554345302317,22834.890625,22879.44927851323
2017-12-13,22758.0703125,22879.369140625,22927.60745498385,22697.3203125,22815.568226453484
2017-12-14,22694.44921875,22786.609375,22756.244468705405,22638.759765625,22616.44459954204
2017-12-15,22553.220703125,22745.08984375,22670.960996234455,22478.3203125,22527.173873290063
2017-12-18,22901.76953125,22927.5,22849.736995250747,22735.19921875,22716.675021184183
2017-12-19,22868.0,22990.419921875,23003.40456773607,22862.8203125,22897.46499839006
2017-12-20,22891.720703125,22923.5,22898.945366887838,22806.73046875,22760.38199402513
2017-12-21,22866.099609375,22894.94921875,22897.82842372253,22728.060546875,22763.357261525663
2017-12-22,22902.759765625,22908.83984375,22898.135776688756,22801.16015625,22769.903871732964
2017-12-25,22939.1796875,22948.830078125,22953.521618426847,22870.189453125,22831.523282444454
2017-12-26,22892.689453125,22950.150390625,22976.447030617728,22877.630859375,22838.17825457647
2017-12-27,22911.2109375,22936.16015625,22918.098743715134,22854.390625,22762.214520265363
2017-12-28,22783.98046875,22954.44921875,22972.42540400483,22736.4296875,22819.685918608353
2017-12-29,22764.939453125,22881.2109375,22921.093534668482,22753.19921875,22746.443378341446
2018-01-04,23506.330078125,23506.330078125,23165.367053078844,23065.19921875,23030.495378224783
2018-01-05,23714.529296875,23730.470703125,23648.962098289976,23520.51953125,23597.364928823205
2018-01-09,23849.990234375,23952.609375,24001.25026342586,23789.029296875,23928.545548749407
2018-01-10,23788.19921875,23864.759765625,23886.154059071014,23755.44921875,23769.942317623932
2018-01-11,23710.4296875,23734.970703125,23699.10549465508,23601.83984375,23561.98271848659
2018-01-12,23653.8203125,23743.05078125,23763.32984338237,23588.0703125,23634.258535711764
2018-01-15,23714.880859375,23833.26953125,23899.563268109476,23685.01953125,23770.820877610266
2018-01-16,23951.810546875,23962.0703125,23791.818338181158,23701.830078125,23644.51877224757
